  TCP    0.0.0.0:3000           0.0.0.0:0              LISTENING       27284
  TCP    127.0.0.1:3000         127.0.0.1:57505        TIME_WAIT       0
  TCP    127.0.0.1:3000         127.0.0.1:57527        FIN_WAIT_2      27284
  TCP    127.0.0.1:57470        127.0.0.1:3000         TIME_WAIT       0
  TCP    127.0.0.1:57471        127.0.0.1:3000         TIME_WAIT       0
  TCP    127.0.0.1:57474        127.0.0.1:3000         TIME_WAIT       0
  TCP    127.0.0.1:57476        127.0.0.1:3000         TIME_WAIT       0
  TCP    127.0.0.1:57502        127.0.0.1:3000         TIME_WAIT       0
  TCP    127.0.0.1:57506        127.0.0.1:3000         TIME_WAIT       0
  TCP    127.0.0.1:57510        127.0.0.1:3000         TIME_WAIT       0
  TCP    127.0.0.1:57527        127.0.0.1:3000         CLOSE_WAIT      29012
